Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-1.1793475792211827,-1.1793475792211827
2024-10-14,14.5,-0.23613776927514493,-0.23613776927514493
2024-10-15,17.0,-0.011564005002278773,-0.011564005002278773
2024-10-16,10.0,-0.640370544966304,-0.640370544966304
2024-10-17,20.0,0.2579245121251606,0.2579245121251606
2024-10-18,15.0,-0.19122301642057168,-0.19122301642057168
2024-10-20,4.5,-1.1344328263666095,-1.1344328263666095
2024-10-21,32.0,1.335878580634918,1.335878580634918
2024-10-22,13.5,-0.3259672749842914,-0.3259672749842914
2024-10-23,9.0,-0.7302000506754505,-0.7302000506754505
2024-10-24,15.0,-0.19122301642057168,-0.19122301642057168
2024-10-25,18.0,0.07826550070686769,0.07826550070686769
2024-10-27,19.0,0.16809500641601416,0.16809500641601416
2024-10-28,16.0,-0.10139351071142523,-0.10139351071142523
2024-10-29,22.0,0.43758352354345353,0.43758352354345353
2024-11-03,8.0,-0.820029556384597,-0.820029556384597
2024-11-04,15.0,-0.19122301642057168,-0.19122301642057168
2024-11-05,50.0,2.952809683399554,2.952809683399554
2024-11-06,27.0,0.8867310520891858,0.8867310520891858
2024-11-07,29.0,1.0663900635074788,1.0663900635074788
2024-11-08,20.0,0.2579245121251606,0.2579245121251606
2024-11-10,8.5,-0.7751148035300237,-0.7751148035300237
2024-11-11,15.0,-0.19122301642057168,-0.19122301642057168
2024-11-12,30.5,1.2011343220711985,1.2011343220711985
2024-11-15,21.0,0.3477540178343071,0.3477540178343071
2024-11-17,4.5,-1.1344328263666095,-1.1344328263666095
2024-11-18,21.5,0.3926687706888803,0.3926687706888803
2024-11-19,17.0,-0.011564005002278773,-0.011564005002278773
2024-11-20,13.0,-0.3708820278388646,-0.3708820278388646
2024-11-21,14.5,-0.23613776927514493,-0.23613776927514493
2024-11-22,12.5,-0.41579678069343784,-0.41579678069343784
2024-11-24,9.5,-0.6852852978208772,-0.6852852978208772
2024-11-25,24.0,0.6172425349617464,0.6172425349617464
2024-11-26,10.5,-0.5954557921117307,-0.5954557921117307
2024-11-28,7.5,-0.8649443092391702,-0.8649443092391702
2024-11-29,13.0,-0.3708820278388646,-0.3708820278388646
2024-12-01,9.0,-0.7302000506754505,-0.7302000506754505
2024-12-02,19.5,0.21300975927058738,0.21300975927058738
2024-12-03,20.0,0.2579245121251606,0.2579245121251606
2024-12-04,21.5,0.3926687706888803,0.3926687706888803
2024-12-05,15.5,-0.14630826356599846,-0.14630826356599846
2024-12-08,5.0,-1.0895180735120362,-1.0895180735120362
2024-12-09,17.0,-0.011564005002278773,-0.011564005002278773
2024-12-10,15.5,-0.14630826356599846,-0.14630826356599846
2024-12-13,22.0,0.43758352354345353,0.43758352354345353
2024-12-15,2.5,-1.3140918377849025,-1.3140918377849025
2024-12-16,12.0,-0.4607115335480111,-0.4607115335480111
2024-12-17,16.0,-0.10139351071142523,-0.10139351071142523
2024-12-18,28.5,1.0214753106529055,1.0214753106529055
2024-12-22,4.0,-1.1793475792211827,-1.1793475792211827
2024-12-23,16.5,-0.056478757856852004,-0.056478757856852004
2024-12-24,12.0,-0.4607115335480111,-0.4607115335480111
2024-12-25,6.5,-0.9547738149483166,-0.9547738149483166
2024-12-26,15.5,-0.14630826356599846,-0.14630826356599846
2024-12-27,15.0,-0.19122301642057168,-0.19122301642057168
2024-12-29,3.0,-1.2691770849303292,-1.2691770849303292
2024-12-30,21.5,0.3926687706888803,0.3926687706888803
2024-12-31,18.0,0.07826550070686769,0.07826550070686769
2025-01-01,7.5,-0.8649443092391702,-0.8649443092391702
2025-01-02,18.0,0.07826550070686769,0.07826550070686769
2025-01-03,14.5,-0.23613776927514493,-0.23613776927514493
2025-01-05,7.5,-0.8649443092391702,-0.8649443092391702
2025-01-06,15.0,-0.19122301642057168,-0.19122301642057168
2025-01-07,20.0,0.2579245121251606,0.2579245121251606
2025-01-08,15.5,-0.14630826356599846,-0.14630826356599846
2025-01-09,12.0,-0.4607115335480111,-0.4607115335480111
2025-01-12,7.5,-0.8649443092391702,-0.8649443092391702
2025-01-13,11.0,-0.5505410392571576,-0.5505410392571576
2025-01-16,19.5,0.21300975927058738,0.21300975927058738
2025-01-17,12.5,-0.41579678069343784,-0.41579678069343784
2025-01-19,3.0,-1.2691770849303292,-1.2691770849303292
2025-01-20,25.5,0.7519867935254662,0.7519867935254662
2025-01-21,11.0,-0.5505410392571576,-0.5505410392571576
2025-01-22,12.0,-0.4607115335480111,-0.4607115335480111
2025-01-23,15.5,-0.14630826356599846,-0.14630826356599846
2025-01-24,8.5,-0.7751148035300237,-0.7751148035300237
2025-01-26,10.5,-0.5954557921117307,-0.5954557921117307
2025-01-27,18.0,0.07826550070686769,0.07826550070686769
2025-01-28,11.5,-0.5056262864025843,-0.5056262864025843
2025-01-29,17.0,-0.011564005002278773,-0.011564005002278773
2025-02-02,17.5,0.03335074785229446,0.03335074785229446
2025-02-03,18.5,0.12318025356144091,0.12318025356144091
2025-02-04,20.5,0.30283926497973385,0.30283926497973385
2025-02-05,26.5,0.8418162992346127,0.8418162992346127
2025-02-06,11.0,-0.5505410392571576,-0.5505410392571576
2025-02-09,4.5,-1.1344328263666095,-1.1344328263666095
2025-02-10,11.0,-0.5505410392571576,-0.5505410392571576
2025-02-11,14.5,-0.23613776927514493,-0.23613776927514493
2025-02-14,21.5,0.3926687706888803,0.3926687706888803
2025-02-16,5.5,-1.044603320657463,-1.044603320657463
2025-02-17,7.0,-0.9098590620937433,-0.9098590620937433
2025-02-18,11.5,-0.5056262864025843,-0.5056262864025843
2025-02-19,11.5,-0.5056262864025843,-0.5056262864025843
2025-02-20,9.5,-0.6852852978208772,-0.6852852978208772
