Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.2384007590788595,-1.2384007590788595
2024-10-14,4.0,-0.37977809611461527,-0.37977809611461527
2024-10-15,4.0,-0.37977809611461527,-0.37977809611461527
2024-10-16,2.75,-0.7375375390163836,-0.7375375390163836
2024-10-17,4.5,-0.2366743189539079,-0.2366743189539079
2024-10-18,3.125,-0.6302097061458531,-0.6302097061458531
2024-10-20,1.125,-1.2026248147886827,-1.2026248147886827
2024-10-21,8.25,0.8366040097513974,0.8366040097513974
2024-10-22,4.5,-0.2366743189539079,-0.2366743189539079
2024-10-23,3.25,-0.5944337618556763,-0.5944337618556763
2024-10-24,3.125,-0.6302097061458531,-0.6302097061458531
2024-10-25,5.375,0.01375729107732999,0.01375729107732999
2024-10-27,3.375,-0.5586578175654995,-0.5586578175654995
2024-10-28,4.75,-0.16512243037355423,-0.16512243037355423
2024-10-29,6.75,0.40729267826927523,0.40729267826927523
2024-11-03,2.5,-0.8090894275967374,-0.8090894275967374
2024-11-04,4.75,-0.16512243037355423,-0.16512243037355423
2024-11-05,13.0,2.1960898927781174,2.1960898927781174
2024-11-06,6.25,0.2641889011085679,0.2641889011085679
2024-11-07,8.625,0.9439318426219279,0.9439318426219279
2024-11-08,4.875,-0.12934648608337737,-0.12934648608337737
2024-11-10,2.0,-0.9521932047574447,-0.9521932047574447
2024-11-11,4.125,-0.34400215182443844,-0.34400215182443844
2024-11-12,6.625,0.3715167339790984,0.3715167339790984
2024-11-15,8.25,0.8366040097513974,0.8366040097513974
2024-11-17,1.5,-1.0952969819181522,-1.0952969819181522
2024-11-18,5.375,0.01375729107732999,0.01375729107732999
2024-11-19,5.0,-0.09357054179320054,-0.09357054179320054
2024-11-20,2.75,-0.7375375390163836,-0.7375375390163836
2024-11-21,4.75,-0.16512243037355423,-0.16512243037355423
2024-11-22,3.625,-0.4871059289851458,-0.4871059289851458
2024-11-24,2.0,-0.9521932047574447,-0.9521932047574447
2024-11-25,7.125,0.5146205111398058,0.5146205111398058
2024-11-26,3.875,-0.4155540404047921,-0.4155540404047921
2024-11-28,1.875,-0.9879691490476216,-0.9879691490476216
2024-11-29,6.375,0.29996484539874474,0.29996484539874474
2024-12-01,2.125,-0.9164172604672679,-0.9164172604672679
2024-12-02,7.5,0.6219483440103363,0.6219483440103363
2024-12-03,7.5,0.6219483440103363,0.6219483440103363
2024-12-04,6.125,0.22841295681839105,0.22841295681839105
2024-12-05,5.375,0.01375729107732999,0.01375729107732999
2024-12-08,1.0,-1.2384007590788595,-1.2384007590788595
2024-12-09,6.0,0.1926370125282142,0.1926370125282142
2024-12-10,7.0,0.47884456684962895,0.47884456684962895
2024-12-13,7.875,0.7292761768808669,0.7292761768808669
2024-12-15,1.5,-1.0952969819181522,-1.0952969819181522
2024-12-16,3.125,-0.6302097061458531,-0.6302097061458531
2024-12-17,4.375,-0.2724502632440847,-0.2724502632440847
2024-12-18,12.625,2.088762059907587,2.088762059907587
2024-12-22,1.25,-1.1668488704985058,-1.1668488704985058
2024-12-23,4.75,-0.16512243037355423,-0.16512243037355423
2024-12-24,2.75,-0.7375375390163836,-0.7375375390163836
2024-12-25,2.0,-0.9521932047574447,-0.9521932047574447
2024-12-26,4.375,-0.2724502632440847,-0.2724502632440847
2024-12-27,3.375,-0.5586578175654995,-0.5586578175654995
2024-12-29,0.875,-1.2741767033690363,-1.2741767033690363
2024-12-30,6.875,0.44306862255945206,0.44306862255945206
2024-12-31,4.0,-0.37977809611461527,-0.37977809611461527
2025-01-01,2.0,-0.9521932047574447,-0.9521932047574447
2025-01-02,5.5,0.04953323536750683,0.04953323536750683
2025-01-03,4.625,-0.20089837466373106,-0.20089837466373106
2025-01-05,1.875,-0.9879691490476216,-0.9879691490476216
2025-01-06,4.375,-0.2724502632440847,-0.2724502632440847
