Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.5,-0.44779122072501887,-0.44779122072501887
2024-11-04,3.5,-0.06379981440423038,-0.06379981440423038
2024-11-05,10.0,2.4321443266808944,2.4321443266808944
2024-11-06,5.0,0.5121872950769524,0.5121872950769524
2024-11-07,5.5,0.7041829982373465,0.7041829982373465
2024-11-10,3.0,-0.25579551756462465,-0.25579551756462465
2024-11-11,5.25,0.6081851466571495,0.6081851466571495
2024-11-12,4.5,0.3201915919165581,0.3201915919165581
2024-11-17,3.25,-0.15979766598442752,-0.15979766598442752
2024-11-18,7.75,1.5681636624591204,1.5681636624591204
2024-11-19,3.5,-0.06379981440423038,-0.06379981440423038
2024-11-20,3.5,-0.06379981440423038,-0.06379981440423038
2024-11-21,4.25,0.22419374033636097,0.22419374033636097
2024-11-24,3.25,-0.15979766598442752,-0.15979766598442752
2024-11-25,2.5,-0.44779122072501887,-0.44779122072501887
2024-11-26,7.0,1.2801701077185292,1.2801701077185292
2024-12-01,5.5,0.7041829982373465,0.7041829982373465
2024-12-02,4.75,0.41618944349675524,0.41618944349675524
2024-12-03,6.0,0.8961787013977408,0.8961787013977408
2024-12-04,5.25,0.6081851466571495,0.6081851466571495
2024-12-05,4.0,0.12819588875616386,0.12819588875616386
2024-12-08,5.25,0.6081851466571495,0.6081851466571495
2024-12-09,6.0,0.8961787013977408,0.8961787013977408
2024-12-10,2.0,-0.6397869238854131,-0.6397869238854131
2024-12-15,1.75,-0.7357847754656103,-0.7357847754656103
2024-12-16,3.25,-0.15979766598442752,-0.15979766598442752
2024-12-17,2.75,-0.35179336914482173,-0.35179336914482173
2024-12-18,3.75,0.03219803717596673,0.03219803717596673
2024-12-22,3.0,-0.25579551756462465,-0.25579551756462465
2024-12-23,0.5,-1.2157740333665958,-1.2157740333665958
2024-12-25,1.5,-0.8317826270458074,-0.8317826270458074
2024-12-26,3.75,0.03219803717596673,0.03219803717596673
2024-12-29,4.0,0.12819588875616386,0.12819588875616386
2024-12-30,1.5,-0.8317826270458074,-0.8317826270458074
2025-01-01,5.25,0.6081851466571495,0.6081851466571495
