Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.4543898337731797,-0.4543898337731797
2024-10-14,5.0,-0.28881892197865366,-0.28881892197865366
2024-10-15,3.0,-0.6199607455677058,-0.6199607455677058
2024-10-16,5.0,-0.28881892197865366,-0.28881892197865366
2024-10-17,3.5,-0.5371752896704427,-0.5371752896704427
2024-10-20,4.5,-0.37160437787591666,-0.37160437787591666
2024-10-21,6.5,-0.040462554286864565,-0.040462554286864565
2024-10-22,6.0,-0.1232480101841276,-0.1232480101841276
2024-10-23,6.0,-0.1232480101841276,-0.1232480101841276
2024-10-24,6.0,-0.1232480101841276,-0.1232480101841276
2024-10-27,19.0,2.029173843144711,2.029173843144711
2024-10-28,5.0,-0.28881892197865366,-0.28881892197865366
2024-10-29,5.5,-0.20603346608139061,-0.20603346608139061
2024-11-03,8.0,0.20789381340492452,0.20789381340492452
2024-11-04,5.0,-0.28881892197865366,-0.28881892197865366
2024-11-05,50.0,7.161872108775018,7.161872108775018
2024-11-06,4.5,-0.37160437787591666,-0.37160437787591666
2024-11-07,7.0,0.04232290161039846,0.04232290161039846
2024-11-10,8.5,0.2906792693021875,0.2906792693021875
2024-11-11,6.5,-0.040462554286864565,-0.040462554286864565
2024-11-12,5.0,-0.28881892197865366,-0.28881892197865366
2024-11-17,4.5,-0.37160437787591666,-0.37160437787591666
2024-11-18,4.5,-0.37160437787591666,-0.37160437787591666
2024-11-19,4.5,-0.37160437787591666,-0.37160437787591666
2024-11-20,2.5,-0.7027462014649688,-0.7027462014649688
2024-11-21,3.5,-0.5371752896704427,-0.5371752896704427
2024-11-24,9.5,0.45625018109671356,0.45625018109671356
2024-11-25,6.5,-0.040462554286864565,-0.040462554286864565
2024-11-26,3.0,-0.6199607455677058,-0.6199607455677058
2024-11-28,3.5,-0.5371752896704427,-0.5371752896704427
2024-12-01,9.0,0.37346472519945056,0.37346472519945056
2024-12-02,7.5,0.12510835750766147,0.12510835750766147
2024-12-03,6.0,-0.1232480101841276,-0.1232480101841276
2024-12-04,4.0,-0.4543898337731797,-0.4543898337731797
2024-12-05,4.5,-0.37160437787591666,-0.37160437787591666
2024-12-08,5.0,-0.28881892197865366,-0.28881892197865366
2024-12-09,3.5,-0.5371752896704427,-0.5371752896704427
2024-12-10,4.0,-0.4543898337731797,-0.4543898337731797
2024-12-15,2.5,-0.7027462014649688,-0.7027462014649688
2024-12-16,3.0,-0.6199607455677058,-0.6199607455677058
2024-12-17,2.5,-0.7027462014649688,-0.7027462014649688
2024-12-18,5.0,-0.28881892197865366,-0.28881892197865366
2024-12-22,4.0,-0.4543898337731797,-0.4543898337731797
2024-12-23,2.5,-0.7027462014649688,-0.7027462014649688
2024-12-25,6.5,-0.040462554286864565,-0.040462554286864565
2024-12-26,4.5,-0.37160437787591666,-0.37160437787591666
2024-12-29,3.0,-0.6199607455677058,-0.6199607455677058
2024-12-30,5.0,-0.28881892197865366,-0.28881892197865366
2025-01-01,7.5,0.12510835750766147,0.12510835750766147
2025-01-02,3.0,-0.6199607455677058,-0.6199607455677058
2025-01-05,7.5,0.12510835750766147,0.12510835750766147
2025-01-06,5.0,-0.28881892197865366,-0.28881892197865366
2025-01-07,4.0,-0.4543898337731797,-0.4543898337731797
2025-01-08,6.5,-0.040462554286864565,-0.040462554286864565
2025-01-09,4.5,-0.37160437787591666,-0.37160437787591666
2025-01-12,7.5,0.12510835750766147,0.12510835750766147
2025-01-13,4.0,-0.4543898337731797,-0.4543898337731797
2025-01-16,2.5,-0.7027462014649688,-0.7027462014649688
2025-01-19,3.0,-0.6199607455677058,-0.6199607455677058
2025-01-20,12.5,0.9529629164802917,0.9529629164802917
2025-01-21,3.5,-0.5371752896704427,-0.5371752896704427
2025-01-22,3.0,-0.6199607455677058,-0.6199607455677058
2025-01-23,5.0,-0.28881892197865366,-0.28881892197865366
2025-01-26,10.5,0.6218210928912397,0.6218210928912397
2025-01-27,5.0,-0.28881892197865366,-0.28881892197865366
2025-01-28,4.0,-0.4543898337731797,-0.4543898337731797
2025-01-29,4.5,-0.37160437787591666,-0.37160437787591666
2025-02-02,17.5,1.780817475452922,1.780817475452922
2025-02-03,4.0,-0.4543898337731797,-0.4543898337731797
2025-02-04,5.0,-0.28881892197865366,-0.28881892197865366
2025-02-05,3.5,-0.5371752896704427,-0.5371752896704427
2025-02-06,3.5,-0.5371752896704427,-0.5371752896704427
2025-02-09,4.5,-0.37160437787591666,-0.37160437787591666
2025-02-10,3.5,-0.5371752896704427,-0.5371752896704427
2025-02-11,6.5,-0.040462554286864565,-0.040462554286864565
2025-02-16,5.5,-0.20603346608139061,-0.20603346608139061
2025-02-17,6.5,-0.040462554286864565,-0.040462554286864565
