Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.6472673716435823,-0.6472673716435823
2024-10-14,2.0,-0.17284570036068844,-0.17284570036068844
2024-10-15,0.75,-0.7658727894643058,-0.7658727894643058
2024-10-16,1.375,-0.4693592449124971,-0.4693592449124971
2024-10-17,0.875,-0.7065700805539441,-0.7065700805539441
2024-10-20,1.125,-0.5879646627332206,-0.5879646627332206
2024-10-21,1.625,-0.35075382709177366,-0.35075382709177366
2024-10-22,2.25,-0.05424028253996497,-0.05424028253996497
2024-10-23,2.125,-0.1135429914503267,-0.1135429914503267
2024-10-24,1.375,-0.4693592449124971,-0.4693592449124971
2024-10-27,3.375,0.47948409765329064,0.47948409765329064
2024-10-28,1.375,-0.4693592449124971,-0.4693592449124971
2024-10-29,1.25,-0.5286619538228589,-0.5286619538228589
2024-11-03,2.5,0.0643651352807585,0.0643651352807585
2024-11-04,1.25,-0.5286619538228589,-0.5286619538228589
2024-11-05,13.0,5.045792683751144,5.045792683751144
2024-11-06,2.0,-0.17284570036068844,-0.17284570036068844
2024-11-07,1.625,-0.35075382709177366,-0.35075382709177366
2024-11-10,2.0,-0.17284570036068844,-0.17284570036068844
2024-11-11,1.5,-0.4100565360021354,-0.4100565360021354
2024-11-12,1.5,-0.4100565360021354,-0.4100565360021354
2024-11-17,1.5,-0.4100565360021354,-0.4100565360021354
2024-11-18,1.125,-0.5879646627332206,-0.5879646627332206
2024-11-19,1.25,-0.5286619538228589,-0.5286619538228589
2024-11-20,1.0,-0.6472673716435823,-0.6472673716435823
2024-11-21,1.125,-0.5879646627332206,-0.5879646627332206
2024-11-24,2.0,-0.17284570036068844,-0.17284570036068844
2024-11-25,2.0,-0.17284570036068844,-0.17284570036068844
2024-11-26,1.125,-0.5879646627332206,-0.5879646627332206
2024-11-28,1.25,-0.5286619538228589,-0.5286619538228589
2024-12-01,2.125,-0.1135429914503267,-0.1135429914503267
2024-12-02,4.25,0.8946030600258228,0.8946030600258228
2024-12-03,4.375,0.9539057689361845,0.9539057689361845
2024-12-04,1.25,-0.5286619538228589,-0.5286619538228589
2024-12-05,3.25,0.42018138874292893,0.42018138874292893
2024-12-08,1.0,-0.6472673716435823,-0.6472673716435823
2024-12-09,0.875,-0.7065700805539441,-0.7065700805539441
2024-12-10,1.5,-0.4100565360021354,-0.4100565360021354
2024-12-15,1.5,-0.4100565360021354,-0.4100565360021354
2024-12-16,1.0,-0.6472673716435823,-0.6472673716435823
2024-12-17,1.125,-0.5879646627332206,-0.5879646627332206
2024-12-18,2.0,-0.17284570036068844,-0.17284570036068844
