Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.4326883200211469,-0.4326883200211469
2024-10-14,0.875,-0.11816741918532833,-0.11816741918532833
2024-10-15,0.375,-0.5375286202997531,-0.5375286202997531
2024-10-16,0.5,-0.4326883200211469,-0.4326883200211469
2024-10-17,0.4374992000000475,-0.4851091411383319,-0.4851091411383319
2024-10-20,0.375,-0.5375286202997531,-0.5375286202997531
2024-10-21,0.75,-0.22300771946393452,-0.22300771946393452
2024-10-22,0.9374992000000475,-0.06574794002390719,-0.06574794002390719
2024-10-23,0.875,-0.11816741918532833,-0.11816741918532833
2024-10-24,0.5,-0.4326883200211469,-0.4326883200211469
2024-10-27,1.0,-0.013327118906722146,-0.013327118906722146
2024-10-28,0.5625007999999525,-0.38026749890396183,-0.38026749890396183
2024-10-29,0.4374992000000475,-0.4851091411383319,-0.4851091411383319
2024-11-03,1.1874992000000475,0.1439326605333052,0.1439326605333052
2024-11-04,0.4375007999999525,-0.485107799182568,-0.485107799182568
2024-11-05,4.1874992000000475,2.660099867219854,2.660099867219854
2024-11-06,0.875,-0.11816741918532833,-0.11816741918532833
2024-11-07,0.5624992000000475,-0.38026884085972573,-0.38026884085972573
2024-11-10,0.75,-0.22300771946393452,-0.22300771946393452
2024-11-11,0.4374992000000475,-0.4851091411383319,-0.4851091411383319
2024-11-12,0.5624992000000475,-0.38026884085972573,-0.38026884085972573
2024-11-17,0.8124992000000475,-0.17058824030251338,-0.17058824030251338
2024-11-18,0.4374992000000475,-0.4851091411383319,-0.4851091411383319
2024-11-19,0.5,-0.4326883200211469,-0.4326883200211469
2024-11-20,0.4374992000000475,-0.4851091411383319,-0.4851091411383319
2024-11-21,0.4374992000000475,-0.4851091411383319,-0.4851091411383319
2024-11-24,0.875,-0.11816741918532833,-0.11816741918532833
2024-11-25,0.875,-0.11816741918532833,-0.11816741918532833
2024-11-26,0.375,-0.5375286202997531,-0.5375286202997531
2024-11-28,0.5,-0.4326883200211469,-0.4326883200211469
2024-12-01,3.875,2.3979997875012202,2.3979997875012202
2024-12-02,3.6875,2.240739337083311,2.240739337083311
2024-12-03,0.6875,-0.2754278696032376,-0.2754278696032376
2024-12-04,0.5625,-0.3802681698818438,-0.3802681698818438
2024-12-05,0.4375,-0.48510847016045,-0.48510847016045
2024-12-09,0.375,-0.5375286202997531,-0.5375286202997531
2024-12-10,0.5625,-0.3802681698818438,-0.3802681698818438
2024-12-15,0.4375,-0.48510847016045,-0.48510847016045
2024-12-16,0.5,-0.4326883200211469,-0.4326883200211469
2024-12-17,0.4375,-0.48510847016045,-0.48510847016045
2024-12-18,0.9375,-0.06574726904602524,-0.06574726904602524
2024-12-22,0.4375,-0.48510847016045,-0.48510847016045
2024-12-23,0.375,-0.5375286202997531,-0.5375286202997531
2024-12-25,0.75,-0.22300771946393452,-0.22300771946393452
2024-12-26,0.4375,-0.48510847016045,-0.48510847016045
2024-12-29,0.375,-0.5375286202997531,-0.5375286202997531
2024-12-30,0.4375,-0.48510847016045,-0.48510847016045
2025-01-01,0.8125,-0.17058756932463143,-0.17058756932463143
2025-01-02,0.4375,-0.48510847016045,-0.48510847016045
2025-01-05,0.5625,-0.3802681698818438,-0.3802681698818438
2025-01-06,0.6875,-0.2754278696032376,-0.2754278696032376
2025-01-07,0.4375,-0.48510847016045,-0.48510847016045
2025-01-08,0.6875,-0.2754278696032376,-0.2754278696032376
2025-01-09,0.625,-0.3278480197425407,-0.3278480197425407
2025-01-12,1.0,-0.013327118906722146,-0.013327118906722146
2025-01-13,0.5625,-0.3802681698818438,-0.3802681698818438
2025-01-16,0.375,-0.5375286202997531,-0.5375286202997531
2025-01-19,0.6875,-0.2754278696032376,-0.2754278696032376
2025-01-20,1.0625,0.03909303123258095,0.03909303123258095
2025-01-21,0.5625,-0.3802681698818438,-0.3802681698818438
2025-01-22,0.375,-0.5375286202997531,-0.5375286202997531
2025-01-23,1.0625,0.03909303123258095,0.03909303123258095
2025-01-26,0.6875,-0.2754278696032376,-0.2754278696032376
2025-01-27,0.75,-0.22300771946393452,-0.22300771946393452
2025-01-28,0.5,-0.4326883200211469,-0.4326883200211469
2025-01-29,0.375,-0.5375286202997531,-0.5375286202997531
2025-02-02,1.5625,0.4584542323470057,0.4584542323470057
2025-02-03,0.375,-0.5375286202997531,-0.5375286202997531
2025-02-04,0.4375,-0.48510847016045,-0.48510847016045
2025-02-05,0.5,-0.4326883200211469,-0.4326883200211469
2025-02-06,0.4375,-0.48510847016045,-0.48510847016045
2025-02-09,0.5625,-0.3802681698818438,-0.3802681698818438
2025-02-10,0.375,-0.5375286202997531,-0.5375286202997531
2025-02-11,0.4375,-0.48510847016045,-0.48510847016045
2025-02-16,0.4375,-0.48510847016045,-0.48510847016045
2025-02-17,0.5,-0.4326883200211469,-0.4326883200211469
2025-02-18,0.3125,-0.5899487704390561,-0.5899487704390561
2025-02-19,0.5625,-0.3802681698818438,-0.3802681698818438
2025-02-20,0.6875,-0.2754278696032376,-0.2754278696032376
2025-02-23,0.5,-0.4326883200211469,-0.4326883200211469
2025-02-24,0.8125,-0.17058756932463143,-0.17058756932463143
2025-02-25,1.1875,0.14393333151118715,0.14393333151118715
2025-02-26,4.4375,2.869781138754948,2.869781138754948
2025-03-02,4.8125,3.184302039590767,3.184302039590767
2025-03-03,6.0625,4.232705042376828,4.232705042376828
2025-03-04,4.875,3.2367221897300698,3.2367221897300698
2025-03-05,5.0,3.341562490008676,3.341562490008676
2025-03-06,0.9375,-0.06574726904602524,-0.06574726904602524
2025-03-09,1.25,0.19635348165049024,0.19635348165049024
2025-03-10,1.8125,0.668134832904218,0.668134832904218
2025-03-11,0.625,-0.3278480197425407,-0.3278480197425407
2025-03-16,2.6875,1.4020169348544613,1.4020169348544613
2025-03-17,0.6875,-0.2754278696032376,-0.2754278696032376
2025-03-18,0.3125,-0.5899487704390561,-0.5899487704390561
2025-03-19,0.5,-0.4326883200211469,-0.4326883200211469
2025-03-20,0.4375,-0.48510847016045,-0.48510847016045
2025-03-23,0.8125,-0.17058756932463143,-0.17058756932463143
2025-03-24,0.5625,-0.3802681698818438,-0.3802681698818438
2025-03-25,0.4375,-0.48510847016045,-0.48510847016045
2025-03-26,0.8125,-0.17058756932463143,-0.17058756932463143
2025-03-30,1.625,0.5108743824863088,0.5108743824863088
2025-03-31,0.4375,-0.48510847016045,-0.48510847016045
2025-04-01,0.875,-0.11816741918532833,-0.11816741918532833
2025-04-02,2.5625,1.2971766345758553,1.2971766345758553
2025-04-03,2.625,1.3495967847151582,1.3495967847151582
2025-04-06,7.8125,5.700469246277315,5.700469246277315
2025-04-07,2.8125,1.5068572351330676,1.5068572351330676
2025-04-08,3.6875,2.240739337083311,2.240739337083311
2025-04-09,2.5625,1.2971766345758553,1.2971766345758553
2025-04-13,2.8125,1.5068572351330676,1.5068572351330676
2025-04-14,0.875,-0.11816741918532833,-0.11816741918532833
2025-04-15,1.375,0.3011937819290964,0.3011937819290964
2025-04-16,1.5,0.4060340822077026,0.4060340822077026
2025-04-20,1.625,0.5108743824863088,0.5108743824863088
2025-04-21,0.8125,-0.17058756932463143,-0.17058756932463143
2025-04-22,1.5625,0.4584542323470057,0.4584542323470057
2025-04-23,1.0625,0.03909303123258095,0.03909303123258095
2025-04-24,0.875,-0.11816741918532833,-0.11816741918532833
2025-04-27,0.625,-0.3278480197425407,-0.3278480197425407
2025-04-28,0.625,-0.3278480197425407,-0.3278480197425407
2025-04-29,0.8125,-0.17058756932463143,-0.17058756932463143
2025-05-01,1.25,0.19635348165049024,0.19635348165049024
2025-05-04,0.8125,-0.17058756932463143,-0.17058756932463143
2025-05-05,0.5,-0.4326883200211469,-0.4326883200211469
2025-05-06,1.25,0.19635348165049024,0.19635348165049024
2025-05-07,0.875,-0.11816741918532833,-0.11816741918532833
2025-05-08,0.4375,-0.48510847016045,-0.48510847016045
2025-05-11,0.75,-0.22300771946393452,-0.22300771946393452
2025-05-12,0.9375,-0.06574726904602524,-0.06574726904602524
2025-05-14,0.3125,-0.5899487704390561,-0.5899487704390561
2025-05-18,1.625,0.5108743824863088,0.5108743824863088
2025-05-19,0.625,-0.3278480197425407,-0.3278480197425407
2025-05-20,1.0,-0.013327118906722146,-0.013327118906722146
2025-05-21,0.625,-0.3278480197425407,-0.3278480197425407
2025-05-22,0.5625,-0.3802681698818438,-0.3802681698818438
2025-05-25,1.0625,0.03909303123258095,0.03909303123258095
2025-05-26,0.5625,-0.3802681698818438,-0.3802681698818438
2025-05-27,0.5,-0.4326883200211469,-0.4326883200211469
2025-05-28,6.3125,4.442385642934041,4.442385642934041
2025-06-01,0.6875,-0.2754278696032376,-0.2754278696032376
2025-06-02,0.375,-0.5375286202997531,-0.5375286202997531
2025-06-03,0.375,-0.5375286202997531,-0.5375286202997531
2025-06-04,0.5625,-0.3802681698818438,-0.3802681698818438
2025-06-05,0.3125,-0.5899487704390561,-0.5899487704390561
