Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.8524983794978938,-0.8524983794978938
2024-10-15,7.5,-0.6639038202068799,-0.6639038202068799
2024-10-16,7.0,-0.7582010998523868,-0.7582010998523868
2024-10-17,6.0,-0.9467956591434007,-0.9467956591434007
2024-10-18,6.0,-0.9467956591434007,-0.9467956591434007
2024-10-21,10.0,-0.19241742197934522,-0.19241742197934522
2024-10-22,5.5,-1.0410929387889076,-1.0410929387889076
2024-10-23,9.0,-0.38101198127035907,-0.38101198127035907
2024-10-24,15.0,0.7505553744757241,0.7505553744757241
2024-10-25,9.5,-0.28671470162485213,-0.28671470162485213
2024-10-28,11.5,0.09047441695717559,0.09047441695717559
2024-10-29,14.5,0.6562580948302171,0.6562580948302171
2024-11-04,15.0,0.7505553744757241,0.7505553744757241
2024-11-05,17.5,1.2220417727032589,1.2220417727032589
2024-11-06,17.0,1.1277444930577518,1.1277444930577518
2024-11-07,7.5,-0.6639038202068799,-0.6639038202068799
2024-11-08,12.0,0.18477169660268253,0.18477169660268253
2024-11-11,6.5,-0.8524983794978938,-0.8524983794978938
2024-11-12,9.5,-0.28671470162485213,-0.28671470162485213
2024-11-15,17.5,1.2220417727032589,1.2220417727032589
2024-11-18,15.0,0.7505553744757241,0.7505553744757241
2024-11-19,7.0,-0.7582010998523868,-0.7582010998523868
2024-11-20,9.0,-0.38101198127035907,-0.38101198127035907
2024-11-21,14.5,0.6562580948302171,0.6562580948302171
2024-11-22,8.0,-0.5696065405613729,-0.5696065405613729
2024-11-25,11.0,-0.003822862688331344,-0.003822862688331344
2024-11-26,7.0,-0.7582010998523868,-0.7582010998523868
2024-11-28,4.0,-1.3239847777254283,-1.3239847777254283
2024-11-29,10.0,-0.19241742197934522,-0.19241742197934522
2024-12-02,17.0,1.1277444930577518,1.1277444930577518
2024-12-03,10.5,-0.09812014233383827,-0.09812014233383827
2024-12-04,15.0,0.7505553744757241,0.7505553744757241
2024-12-05,10.0,-0.19241742197934522,-0.19241742197934522
2024-12-09,6.0,-0.9467956591434007,-0.9467956591434007
2024-12-10,6.5,-0.8524983794978938,-0.8524983794978938
2024-12-13,10.0,-0.19241742197934522,-0.19241742197934522
2024-12-16,7.5,-0.6639038202068799,-0.6639038202068799
2024-12-17,7.0,-0.7582010998523868,-0.7582010998523868
2024-12-18,22.5,2.1650145691583282,2.1650145691583282
2024-12-23,9.5,-0.28671470162485213,-0.28671470162485213
2024-12-24,12.0,0.18477169660268253,0.18477169660268253
2024-12-26,12.5,0.27906897624818944,0.27906897624818944
2024-12-27,9.0,-0.38101198127035907,-0.38101198127035907
2024-12-30,5.5,-1.0410929387889076,-1.0410929387889076
2024-12-31,14.5,0.6562580948302171,0.6562580948302171
2025-01-02,15.0,0.7505553744757241,0.7505553744757241
2025-01-03,6.5,-0.8524983794978938,-0.8524983794978938
2025-01-06,9.0,-0.38101198127035907,-0.38101198127035907
2025-01-07,5.5,-1.0410929387889076,-1.0410929387889076
2025-01-08,7.0,-0.7582010998523868,-0.7582010998523868
2025-01-09,5.0,-1.1353902184344145,-1.1353902184344145
2025-01-13,9.0,-0.38101198127035907,-0.38101198127035907
2025-01-16,17.5,1.2220417727032589,1.2220417727032589
2025-01-17,7.0,-0.7582010998523868,-0.7582010998523868
2025-01-20,4.5,-1.2296874980799215,-1.2296874980799215
2025-01-21,8.5,-0.475309260915866,-0.475309260915866
2025-01-22,10.0,-0.19241742197934522,-0.19241742197934522
2025-01-23,6.0,-0.9467956591434007,-0.9467956591434007
2025-01-24,6.0,-0.9467956591434007,-0.9467956591434007
2025-01-27,8.0,-0.5696065405613729,-0.5696065405613729
2025-01-28,7.0,-0.7582010998523868,-0.7582010998523868
2025-01-29,15.0,0.7505553744757241,0.7505553744757241
2025-02-03,13.5,0.4676635355392033,0.4676635355392033
2025-02-04,8.0,-0.5696065405613729,-0.5696065405613729
2025-02-05,9.0,-0.38101198127035907,-0.38101198127035907
2025-02-06,10.0,-0.19241742197934522,-0.19241742197934522
2025-02-10,9.5,-0.28671470162485213,-0.28671470162485213
2025-02-11,5.0,-1.1353902184344145,-1.1353902184344145
2025-02-14,8.0,-0.5696065405613729,-0.5696065405613729
2025-02-17,2.0,-1.701173896307456,-1.701173896307456
2025-02-18,8.0,-0.5696065405613729,-0.5696065405613729
2025-02-19,6.5,-0.8524983794978938,-0.8524983794978938
2025-02-20,3.0,-1.5125793370164422,-1.5125793370164422
2025-02-21,12.5,0.27906897624818944,0.27906897624818944
2025-02-24,7.0,-0.7582010998523868,-0.7582010998523868
2025-02-25,6.5,-0.8524983794978938,-0.8524983794978938
2025-02-26,17.5,1.2220417727032589,1.2220417727032589
2025-03-03,11.5,0.09047441695717559,0.09047441695717559
2025-03-04,25.0,2.636500967385863,2.636500967385863
2025-03-05,12.5,0.27906897624818944,0.27906897624818944
2025-03-06,15.5,0.844852654121231,0.844852654121231
2025-03-10,10.0,-0.19241742197934522,-0.19241742197934522
2025-03-11,23.5,2.353609128449342,2.353609128449342
2025-03-14,10.5,-0.09812014233383827,-0.09812014233383827
2025-03-17,12.5,0.27906897624818944,0.27906897624818944
2025-03-18,16.0,0.9391499337667379,0.9391499337667379
2025-03-19,12.5,0.27906897624818944,0.27906897624818944
2025-03-20,14.5,0.6562580948302171,0.6562580948302171
2025-03-21,9.5,-0.28671470162485213,-0.28671470162485213
2025-03-24,6.0,-0.9467956591434007,-0.9467956591434007
2025-03-25,7.0,-0.7582010998523868,-0.7582010998523868
2025-03-26,8.0,-0.5696065405613729,-0.5696065405613729
2025-03-31,11.5,0.09047441695717559,0.09047441695717559
2025-04-01,9.0,-0.38101198127035907,-0.38101198127035907
2025-04-02,21.5,1.9764200098673141,1.9764200098673141
2025-04-03,13.5,0.4676635355392033,0.4676635355392033
2025-04-04,21.0,1.8821227302218073,1.8821227302218073
2025-04-07,29.0,3.3908792045499183,3.3908792045499183
2025-04-08,28.0,3.202284645258904,3.202284645258904
2025-04-09,35.5,4.616743839941508,4.616743839941508
2025-04-14,10.5,-0.09812014233383827,-0.09812014233383827
2025-04-15,15.0,0.7505553744757241,0.7505553744757241
2025-04-16,17.0,1.1277444930577518,1.1277444930577518
2025-04-17,11.0,-0.003822862688331344,-0.003822862688331344
2025-04-21,18.5,1.4106363319942727,1.4106363319942727
2025-04-22,10.0,-0.19241742197934522,-0.19241742197934522
2025-04-23,18.5,1.4106363319942727,1.4106363319942727
2025-04-24,9.0,-0.38101198127035907,-0.38101198127035907
2025-04-25,9.0,-0.38101198127035907,-0.38101198127035907
2025-04-28,9.0,-0.38101198127035907,-0.38101198127035907
2025-04-29,8.0,-0.5696065405613729,-0.5696065405613729
2025-05-01,8.5,-0.475309260915866,-0.475309260915866
2025-05-05,10.0,-0.19241742197934522,-0.19241742197934522
2025-05-06,14.5,0.6562580948302171,0.6562580948302171
2025-05-07,7.0,-0.7582010998523868,-0.7582010998523868
2025-05-08,15.0,0.7505553744757241,0.7505553744757241
2025-05-09,4.0,-1.3239847777254283,-1.3239847777254283
2025-05-12,6.5,-0.8524983794978938,-0.8524983794978938
2025-05-14,7.0,-0.7582010998523868,-0.7582010998523868
2025-05-16,11.0,-0.003822862688331344,-0.003822862688331344
2025-05-19,14.0,0.5619608151847102,0.5619608151847102
2025-05-20,6.5,-0.8524983794978938,-0.8524983794978938
2025-05-21,20.5,1.7878254505763003,1.7878254505763003
2025-05-22,13.5,0.4676635355392033,0.4676635355392033
2025-05-23,8.0,-0.5696065405613729,-0.5696065405613729
2025-05-26,4.0,-1.3239847777254283,-1.3239847777254283
2025-05-27,11.5,0.09047441695717559,0.09047441695717559
2025-05-28,13.0,0.3733662558936964,0.3733662558936964
2025-06-02,17.5,1.2220417727032589,1.2220417727032589
2025-06-03,10.0,-0.19241742197934522,-0.19241742197934522
2025-06-04,10.5,-0.09812014233383827,-0.09812014233383827
2025-06-05,11.0,-0.003822862688331344,-0.003822862688331344
2025-06-09,9.5,-0.28671470162485213,-0.28671470162485213
2025-06-10,10.0,-0.19241742197934522,-0.19241742197934522
2025-06-13,16.0,0.9391499337667379,0.9391499337667379
2025-06-16,15.5,0.844852654121231,0.844852654121231
2025-06-17,15.5,0.844852654121231,0.844852654121231
2025-06-18,11.5,0.09047441695717559,0.09047441695717559
2025-06-19,3.0,-1.5125793370164422,-1.5125793370164422
2025-06-20,15.0,0.7505553744757241,0.7505553744757241
2025-06-23,8.0,-0.5696065405613729,-0.5696065405613729
2025-06-24,11.0,-0.003822862688331344,-0.003822862688331344
2025-06-25,8.5,-0.475309260915866,-0.475309260915866
2025-06-30,14.5,0.6562580948302171,0.6562580948302171
2025-07-01,8.0,-0.5696065405613729,-0.5696065405613729
