Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-1.1007833567731244,-1.1007833567731244
2024-10-15,1.75,-0.8292496498118863,-0.8292496498118863
2024-10-16,1.75,-0.8292496498118863,-0.8292496498118863
2024-10-17,1.125,-1.1007833567731244,-1.1007833567731244
2024-10-18,1.125,-1.1007833567731244,-1.1007833567731244
2024-10-21,2.875,-0.3404889772816578,-0.3404889772816578
2024-10-22,2.25,-0.6120226842428959,-0.6120226842428959
2024-10-23,1.75,-0.8292496498118863,-0.8292496498118863
2024-10-24,3.0,-0.28618223588941016,-0.28618223588941016
2024-10-25,4.25,0.256885178033066,0.256885178033066
2024-10-28,3.75,0.039658212464075526,0.039658212464075526
2024-10-29,3.75,0.039658212464075526,0.039658212464075526
2024-11-04,4.75,0.47411214360205645,0.47411214360205645
2024-11-05,4.375,0.3111919194253136,0.3111919194253136
2024-11-06,4.125,0.20257843664081837,0.20257843664081837
2024-11-07,4.5,0.3654986608175612,0.3654986608175612
2024-11-08,4.125,0.20257843664081837,0.20257843664081837
2024-11-11,1.25,-1.0464766153808767,-1.0464766153808767
2024-11-12,2.5,-0.5034092014584006,-0.5034092014584006
2024-11-15,6.875,1.397326747270266,1.397326747270266
2024-11-18,3.25,-0.17756875310491493,-0.17756875310491493
2024-11-19,2.0,-0.7206361670273911,-0.7206361670273911
2024-11-20,1.75,-0.8292496498118863,-0.8292496498118863
2024-11-21,4.625,0.41980540220980883,0.41980540220980883
2024-11-22,1.875,-0.7749429084196386,-0.7749429084196386
2024-11-25,3.375,-0.12326201171266732,-0.12326201171266732
2024-11-26,2.125,-0.6663294256351434,-0.6663294256351434
2024-11-28,0.625,-1.318010322342115,-1.318010322342115
2024-11-29,5.375,0.7456458505632945,0.7456458505632945
2024-12-02,6.875,1.397326747270266,1.397326747270266
2024-12-03,5.625,0.8542593333477897,0.8542593333477897
2024-12-04,4.0,0.14827169524857076,0.14827169524857076
2024-12-05,5.25,0.6913391091710469,0.6913391091710469
2024-12-09,3.5,-0.0689552703204197,-0.0689552703204197
2024-12-10,4.625,0.41980540220980883,0.41980540220980883
2024-12-13,3.25,-0.17756875310491493,-0.17756875310491493
2024-12-16,2.0,-0.7206361670273911,-0.7206361670273911
2024-12-17,1.375,-0.9921698739886291,-0.9921698739886291
2024-12-18,10.625,3.0265289890376943,3.0265289890376943
2024-12-23,2.375,-0.5577159428506482,-0.5577159428506482
2024-12-24,2.75,-0.3947957186739054,-0.3947957186739054
2024-12-26,4.0,0.14827169524857076,0.14827169524857076
2024-12-27,2.875,-0.3404889772816578,-0.3404889772816578
2024-12-30,1.75,-0.8292496498118863,-0.8292496498118863
2024-12-31,3.875,0.09396495385632314,0.09396495385632314
2025-01-02,4.625,0.41980540220980883,0.41980540220980883
2025-01-03,2.625,-0.449102460066153,-0.449102460066153
2025-01-06,2.5,-0.5034092014584006,-0.5034092014584006
2025-01-07,2.5,-0.5034092014584006,-0.5034092014584006
2025-01-08,2.0,-0.7206361670273911,-0.7206361670273911
2025-01-09,1.5,-0.9378631325963815,-0.9378631325963815
2025-01-13,1.875,-0.7749429084196386,-0.7749429084196386
2025-01-16,6.25,1.1257930403090277,1.1257930403090277
2025-01-17,2.5,-0.5034092014584006,-0.5034092014584006
2025-01-20,1.875,-0.7749429084196386,-0.7749429084196386
2025-01-21,1.875,-0.7749429084196386,-0.7749429084196386
2025-01-22,3.0,-0.28618223588941016,-0.28618223588941016
2025-01-23,2.125,-0.6663294256351434,-0.6663294256351434
2025-01-24,2.375,-0.5577159428506482,-0.5577159428506482
2025-01-27,3.25,-0.17756875310491493,-0.17756875310491493
2025-01-28,2.375,-0.5577159428506482,-0.5577159428506482
2025-01-29,5.375,0.7456458505632945,0.7456458505632945
