Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.5,-0.7492451470792014,-0.7492451470792014
2024-10-15,0.9375007999999525,-0.44684321002849364,-0.44684321002849364
2024-10-16,0.6875007999999525,-0.619644000936042,-0.619644000936042
2024-10-17,0.6874992000000475,-0.6196451068610381,-0.6196451068610381
2024-10-18,0.5624992000000475,-0.7060455023148123,-0.7060455023148123
2024-10-21,1.25,-0.23084277435655626,-0.23084277435655626
2024-10-22,1.125,-0.31724316981033046,-0.31724316981033046
2024-10-23,0.75,-0.576444356171653,-0.576444356171653
2024-10-24,1.0625007999999525,-0.36044281457471944,-0.36044281457471944
2024-10-25,2.125,0.37395999381986306,0.37395999381986306
2024-10-28,1.5,-0.05804198344900788,-0.05804198344900788
2024-10-29,1.25,-0.23084277435655626,-0.23084277435655626
2024-11-04,1.8124992000000475,0.1579584522229295,0.1579584522229295
2024-11-05,1.1874992000000475,-0.2740435250459414,-0.2740435250459414
2024-11-06,1.25,-0.23084277435655626,-0.23084277435655626
2024-11-07,2.125,0.37395999381986306,0.37395999381986306
2024-11-08,1.75,0.11475880745854049,0.11475880745854049
2024-11-11,0.5,-0.7492451470792014,-0.7492451470792014
2024-11-12,1.1874992000000475,-0.2740435250459414,-0.2740435250459414
2024-11-15,2.625,0.7195615756349598,0.7195615756349598
2024-11-18,1.125,-0.31724316981033046,-0.31724316981033046
2024-11-19,0.75,-0.576444356171653,-0.576444356171653
2024-11-20,0.875,-0.4900439607178788,-0.4900439607178788
2024-11-21,1.8125007999999525,0.15795955814792567,0.15795955814792567
2024-11-22,0.625,-0.6628447516254272,-0.6628447516254272
2024-11-25,1.25,-0.23084277435655626,-0.23084277435655626
2024-11-26,1.4375007999999525,-0.1012416282133969,-0.1012416282133969
2024-11-28,0.25,-0.9220459379867497,-0.9220459379867497
2024-11-29,4.1875,1.7995665188071372,1.7995665188071372
2024-12-02,4.375,1.9291671119877984,1.9291671119877984
2024-12-03,1.5,-0.05804198344900788,-0.05804198344900788
2024-12-04,1.8125,0.15795900518542758,0.15795900518542758
2024-12-05,3.0625,1.0219629597231694,1.0219629597231694
2024-12-09,1.9375,0.24435940063920178,0.24435940063920178
2024-12-10,1.25,-0.23084277435655626,-0.23084277435655626
2024-12-13,0.875,-0.4900439607178788,-0.4900439607178788
2024-12-16,1.1875,-0.27404297208344336,-0.27404297208344336
2024-12-17,0.4375,-0.7924453448060885,-0.7924453448060885
2024-12-18,4.8125,2.231568496076008,2.231568496076008
2024-12-23,0.625,-0.6628447516254272,-0.6628447516254272
2024-12-24,1.0,-0.4036435652641046,-0.4036435652641046
2024-12-26,1.25,-0.23084277435655626,-0.23084277435655626
2024-12-27,0.75,-0.576444356171653,-0.576444356171653
2024-12-30,0.5625,-0.7060449493523143,-0.7060449493523143
2024-12-31,1.5,-0.05804198344900788,-0.05804198344900788
2025-01-02,1.6875,0.0715586097316534,0.0715586097316534
2025-01-03,1.25,-0.23084277435655626,-0.23084277435655626
2025-01-06,1.0,-0.4036435652641046,-0.4036435652641046
2025-01-07,1.0625,-0.36044336753721756,-0.36044336753721756
2025-01-08,0.9375,-0.4468437629909917,-0.4468437629909917
2025-01-09,0.4375,-0.7924453448060885,-0.7924453448060885
2025-01-13,0.6875,-0.6196445538985401,-0.6196445538985401
2025-01-16,2.375,0.5467607847274114,0.5467607847274114
2025-01-17,1.0625,-0.36044336753721756,-0.36044336753721756
2025-01-20,0.5,-0.7492451470792014,-0.7492451470792014
2025-01-21,0.8125,-0.5332441584447659,-0.5332441584447659
2025-01-22,1.0625,-0.36044336753721756,-0.36044336753721756
2025-01-23,1.0,-0.4036435652641046,-0.4036435652641046
2025-01-24,1.0625,-0.36044336753721756,-0.36044336753721756
2025-01-27,1.3125,-0.18764257662966916,-0.18764257662966916
2025-01-28,0.75,-0.576444356171653,-0.576444356171653
2025-01-29,2.0,0.28755959836608885,0.28755959836608885
2025-02-03,1.5,-0.05804198344900788,-0.05804198344900788
2025-02-04,0.5,-0.7492451470792014,-0.7492451470792014
2025-02-05,0.375,-0.8356455425329755,-0.8356455425329755
2025-02-06,0.5625,-0.7060449493523143,-0.7060449493523143
2025-02-10,0.6875,-0.6196445538985401,-0.6196445538985401
2025-02-11,0.5625,-0.7060449493523143,-0.7060449493523143
2025-02-14,0.625,-0.6628447516254272,-0.6628447516254272
2025-02-17,0.1875,-0.9652461357136368,-0.9652461357136368
2025-02-18,0.75,-0.576444356171653,-0.576444356171653
2025-02-19,0.625,-0.6628447516254272,-0.6628447516254272
2025-02-20,0.5625,-0.7060449493523143,-0.7060449493523143
2025-02-21,1.8125,0.15795900518542758,0.15795900518542758
2025-02-24,1.0625,-0.36044336753721756,-0.36044336753721756
2025-02-25,1.125,-0.31724316981033046,-0.31724316981033046
2025-02-26,5.75,2.8795714619793147,2.8795714619793147
2025-03-03,5.4375,2.663570473344879,2.663570473344879
2025-03-04,6.6875,3.527574427882621,3.527574427882621
2025-03-05,5.4375,2.663570473344879,2.663570473344879
2025-03-06,5.0625,2.4043692869835565,2.4043692869835565
2025-03-10,4.0,1.6699659256264758,1.6699659256264758
2025-03-11,5.25,2.533969880164218,2.533969880164218
2025-03-14,1.625,0.028358412004766305,0.028358412004766305
2025-03-17,1.6875,0.0715586097316534,0.0715586097316534
2025-03-18,2.625,0.7195615756349598,0.7195615756349598
2025-03-19,3.6875,1.4539649369920404,1.4539649369920404
2025-03-20,1.0625,-0.36044336753721756,-0.36044336753721756
2025-03-21,1.1875,-0.27404297208344336,-0.27404297208344336
2025-03-24,0.75,-0.576444356171653,-0.576444356171653
2025-03-25,0.8125,-0.5332441584447659,-0.5332441584447659
2025-03-26,1.0,-0.4036435652641046,-0.4036435652641046
2025-03-31,1.6875,0.0715586097316534,0.0715586097316534
2025-04-01,1.1875,-0.27404297208344336,-0.27404297208344336
2025-04-02,2.1875,0.41716019154675016,0.41716019154675016
2025-04-03,2.0625,0.33075979609297596,0.33075979609297596
2025-04-04,6.3125,3.2683732415212985,3.2683732415212985
2025-04-07,4.125,1.75636632108025,1.75636632108025
2025-04-08,4.625,2.1019679028953466,2.1019679028953466
2025-04-09,9.25,5.2987825346849915,5.2987825346849915
2025-04-14,2.5625,0.6763613779080727,0.6763613779080727
2025-04-15,1.5,-0.05804198344900788,-0.05804198344900788
2025-04-16,1.1875,-0.27404297208344336,-0.27404297208344336
2025-04-17,1.8125,0.15795900518542758,0.15795900518542758
2025-04-21,1.3125,-0.18764257662966916,-0.18764257662966916
2025-04-22,1.4375,-0.10124218117589498,-0.10124218117589498
2025-04-23,1.625,0.028358412004766305,0.028358412004766305
2025-04-24,1.0625,-0.36044336753721756,-0.36044336753721756
2025-04-25,1.625,0.028358412004766305,0.028358412004766305
2025-04-28,2.0625,0.33075979609297596,0.33075979609297596
2025-04-29,0.75,-0.576444356171653,-0.576444356171653
2025-05-01,2.9375,0.9355625642693953,0.9355625642693953
2025-05-05,0.6875,-0.6196445538985401,-0.6196445538985401
2025-05-06,0.875,-0.4900439607178788,-0.4900439607178788
2025-05-07,1.9375,0.24435940063920178,0.24435940063920178
2025-05-08,2.5625,0.6763613779080727,0.6763613779080727
2025-05-09,1.4375,-0.10124218117589498,-0.10124218117589498
2025-05-12,1.25,-0.23084277435655626,-0.23084277435655626
2025-05-14,1.5,-0.05804198344900788,-0.05804198344900788
2025-05-16,1.5625,-0.014841785722120786,-0.014841785722120786
2025-05-19,0.875,-0.4900439607178788,-0.4900439607178788
2025-05-20,1.0625,-0.36044336753721756,-0.36044336753721756
2025-05-21,0.75,-0.576444356171653,-0.576444356171653
2025-05-22,0.625,-0.6628447516254272,-0.6628447516254272
2025-05-23,1.3125,-0.18764257662966916,-0.18764257662966916
2025-05-26,0.25,-0.9220459379867497,-0.9220459379867497
2025-05-27,0.8125,-0.5332441584447659,-0.5332441584447659
2025-05-28,5.4375,2.663570473344879,2.663570473344879
2025-06-02,5.8125,2.9227716597062017,2.9227716597062017
2025-06-03,0.875,-0.4900439607178788,-0.4900439607178788
2025-06-04,1.25,-0.23084277435655626,-0.23084277435655626
2025-06-05,2.25,0.46036038927363726,0.46036038927363726
2025-06-09,1.125,-0.31724316981033046,-0.31724316981033046
2025-06-10,0.875,-0.4900439607178788,-0.4900439607178788
2025-06-13,1.375,-0.14444237890278205,-0.14444237890278205
2025-06-16,0.9375,-0.4468437629909917,-0.4468437629909917
2025-06-17,1.25,-0.23084277435655626,-0.23084277435655626
2025-06-18,1.125,-0.31724316981033046,-0.31724316981033046
2025-06-19,0.25,-0.9220459379867497,-0.9220459379867497
2025-06-20,1.6875,0.0715586097316534,0.0715586097316534
2025-06-23,1.5,-0.05804198344900788,-0.05804198344900788
2025-06-24,1.0,-0.4036435652641046,-0.4036435652641046
2025-06-25,1.375,-0.14444237890278205,-0.14444237890278205
2025-06-30,0.875,-0.4900439607178788,-0.4900439607178788
2025-07-01,1.0,-0.4036435652641046,-0.4036435652641046
2025-07-02,1.1875,-0.27404297208344336,-0.27404297208344336
2025-07-04,1.0,-0.4036435652641046,-0.4036435652641046
2025-07-07,0.625,-0.6628447516254272,-0.6628447516254272
2025-07-08,0.5,-0.7492451470792014,-0.7492451470792014
2025-07-09,0.75,-0.576444356171653,-0.576444356171653
