"(Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,162.0,162.0,162.0,152.0,175.0,206.0
mean,1.2770061728395061,1.3665123456790123,1.8618827160493827,0.6587171052631579,0.99,2.4132281553398056
std,1.1499324122559076,1.2879432650097227,1.6732045179325343,0.6788811638809548,1.1314025981411127,2.4075866656403595
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.125,0.125,0.006250000000000089,0.0,0.125,0.125
25%,0.5,0.5,0.625,0.25,0.25,0.625
50%,1.0,1.125,1.5625,0.5,0.75,1.8125
68%,1.5,1.5,2.25,0.75,1.0,2.875
90%,2.5,2.8625000000000007,3.8625000000000007,1.4875000000000007,2.0249999999999986,5.3125
95%,3.1187499999999986,4.093749999999993,5.0,1.875,2.537499999999998,6.75
99%,6.375,5.923749999999998,7.739999999999952,3.25,6.112499999999983,10.856249999999996
99.7%,6.633499999999998,7.033999999999992,10.004249999999999,3.9337499999999963,8.03775000000001,14.231249999999989
max,6.875,8.0,10.125,4.5,8.625,15.0
