"(Vol Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,164.0,164.0,164.0,154.0,177.0,208.0
mean,2.7081894293064037,3.019817073170732,3.544969512195122,1.7264737215909092,2.269774011299435,5.322725736177885
std,1.6490889333706165,1.703700581632218,2.2582877014727494,1.448797432367328,2.060595940609685,3.4998756409152936
min,0.0,0.5,0.5,0.375,0.0,0.0
5%,1.25,1.25,1.125,0.70625,0.875,1.2937500000000002
25%,1.625,1.875,2.125,1.0,1.25,3.125
50%,2.25,2.625,2.875,1.25,1.625,4.6875
68%,2.75,3.125,4.0,1.625,2.0,6.0
90%,4.462500000000002,5.2250000000000085,6.212500000000002,3.375,4.25,8.700000000000003
95%,5.943749999999998,6.75,7.375,3.9187499999999993,6.149999999999999,13.162499999999994
99%,9.063750000000013,8.67125,12.777500000000003,7.727499999999999,12.715000000000003,15.86625
99.7%,11.258249999999997,9.260999999999996,13.633249999999997,9.409874999999992,14.180000000000021,21.174124999999922
max,11.625,9.75,14.0,10.5,15.5,26.375
