"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,150.0,149.0,164.0,151.0,163.0,191.0
mean,2.203333333333333,1.8053691275167785,2.2439024390243905,1.044701986754967,1.7162576687116564,4.005235602094241
std,1.8560590662127896,1.863783032948126,1.963226189255345,1.3708531688682148,1.9310082078098736,4.0188665359368665
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,0.75,0.75,0.25,0.5,1.0
50%,1.75,1.5,1.75,0.75,1.25,3.25
68%,2.75,1.9100000000000001,2.75,1.0,2.0,4.75
90%,4.75,3.5500000000000043,4.925000000000004,2.25,3.5,8.25
95%,5.5,4.599999999999994,6.424999999999997,3.0,4.5,11.125
99%,8.377499999999998,9.550000000000026,8.435000000000002,6.75,7.034999999999997,15.899999999999963
99.7%,8.63825,12.001000000000026,9.260999999999996,9.587500000000048,13.025500000000108,25.727500000000063
max,8.75,13.0,9.75,11.5,18.25,31.0
