"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,168.0,170.0,170.0,160.0,184.0,215.0
mean,4.227678571428571,4.3617647058823525,5.161764705882353,2.393836975097659,3.316576086956522,8.093051076489827
std,2.1371097986005756,2.159506943764496,2.767949992908831,1.7551591680856056,2.79343193639118,4.883865554975072
min,1.75,0.75,1.0,0.75,0.0,0.0
5%,2.0,2.0,2.0,1.25,1.2875,2.1750000000000003
25%,3.0,3.0,3.25,1.5,2.0,5.25
50%,3.75,4.0,4.5,2.0,2.75,7.5
68%,4.5,4.5,5.75,2.280000000000001,3.25,9.25
90%,5.825000000000003,6.75,8.75,3.75,5.25,13.049999999999997
95%,6.75,8.937499999999979,10.25,4.2749999999999915,6.712499999999999,16.474999999999987
99%,15.165000000000006,12.215000000000003,15.5775,10.614999999999995,16.067499999999903,25.399999999999963
99.7%,15.749499999999998,13.496499999999997,16.489499999999992,13.199749999999987,22.838249999999995,34.55850000000002
max,16.0,13.75,17.25,14.75,23.25,38.25
